Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
30817,Gänserndorf,11640,16.5,16.8,14.6,72.7,8.3,62.2,12.5,75.7,5001,2.3,3283,822,1006,5368
30814,Engelhartstetten,2086,15.7,19.7,11.8,74.5,4.1,69.4,6.7,72.1,880,2.37,619,189,207,676
30813,Eckartsau,1293,13.2,20.6,14,78.2,4.7,66.8,7.6,79.2,570,2.27,381,121,127,303
30812,Ebenthal,895,15.6,17.2,8.6,73,6.1,68.9,8.1,86.1,390,2.29,261,41,47,102
30811,Dürnkrut,2234,14,21.8,7,71.1,9,67.9,6.6,81.5,1027,2.18,669,87,109,482
30810,Drösing,1129,12.3,23.5,7.4,68.6,10.3,68.9,7.9,85.6,534,2.11,330,62,69,155
30808,Deutsch-Wagram,8917,14.8,17.8,12.6,75.3,6.1,64.5,13.7,81.3,3872,2.3,2602,523,586,2733
30805,Bad Pirawarth,1670,15.6,21.4,6.4,73.6,4.6,66.1,10.6,79.5,720,2.32,497,128,139,707
30804,Auersthal,1932,14.5,20.3,12,76.8,5,64.6,10,78.7,832,2.3,560,157,171,622
30803,Angern an der March,3425,14.3,20.5,12.8,70,10,64.7,7.3,83.6,1478,2.32,1032,212,235,648
30802,Andlersdorf,151,16.6,22.5,13.2,72.8,6.6,55.6,15.1,73.2,53,2.62,41,18,19,30
30801,Aderklaa,198,14.1,15.7,9.1,83.5,1.6,72.9,12.9,53.4,73,2.52,51,46,52,225
30741,Zwölfaxing,1746,15.2,18.3,11.8,74.4,6.4,66.1,10.4,86.1,717,2.44,527,107,126,1131
30740,Schwechat,19424,14.2,17.6,22.2,74.2,7.3,63.1,9.7,69,9318,2.07,5400,2432,2776,32133
30739,Schwadorf,2207,16.3,15.8,15.1,76.6,6.8,65.7,8,85.2,952,2.32,639,135,151,654
30738,Rauchenwarth,769,16.4,14.8,10.8,77.3,5.3,67.5,12.4,77.7,326,2.34,218,64,70,181
30737,Moosbrunn,1775,15.2,18.6,10.5,78.9,4.6,66.4,12.8,87.1,790,2.25,536,94,103,306
30736,Maria-Lanzendorf,2201,14.7,21.8,14.3,72.8,7,62.6,12.6,84.3,962,2.17,598,128,146,1502
30735,Leopoldsdorf,5219,14.4,16.5,10.4,76.7,4.3,62.4,18.2,84.7,2297,2.27,1548,385,427,2538
30734,Lanzendorf,1922,16.3,17.4,14.2,76.5,5.5,63.3,11.8,86.6,789,2.37,559,96,114,728
30733,Klein-Neusiedl,895,14.9,21.2,17.7,76.6,6.5,66.4,5.6,85.5,443,2.02,252,47,57,259
30732,Himberg,7414,14.6,20,11.5,77.1,5.2,67.1,11.6,80.2,3312,2.19,2124,500,575,3108
30731,Gramatneusiedl,3591,19.7,12.9,17.6,75.1,6.5,60.9,13.8,89.1,1465,2.45,1047,152,184,573
30730,Fischamend,5610,14,17.7,15.8,75.6,6.5,66.2,9.3,81.7,2703,2.06,1589,318,364,2700
30729,Ebergassing,3950,14.4,16.6,18.5,74.9,6.2,64.2,7.1,79.3,1740,2.27,1151,201,228,1172
30728,Wolfsthal,1148,21.4,15.2,44.2,52.7,6.5,63.6,12,81.8,439,2.62,327,62,71,246
30726,Trautmannsdorf an der Leitha,2982,13.8,20.8,8.4,76.6,4.6,69.4,9.1,80.6,1263,2.36,903,238,256,642
30724,Sommerein,2052,13.7,18.3,6.8,77.1,4.8,66.2,11.1,83.6,872,2.35,629,126,133,626
30722,Scharndorf,1178,12.5,22,9.8,77.2,2.2,69.4,12.1,83.3,508,2.31,348,94,97,200
30721,Rohrau,1615,16.5,16.8,10.8,77.6,3.6,71.7,8.6,79.5,608,2.63,475,152,163,393
30719,Prellenkirchen,1630,15.3,20.8,16.7,72.8,4.9,69.4,10.2,80.7,673,2.42,478,144,155,303
30718,Petronell-Carnuntum,1255,13.3,22.6,13.4,72.5,7,67.2,11.1,80.6,590,2.13,386,84,94,333
30716,Mannersdorf am Leithagebirge,4142,15.3,19.3,18.4,73,6.6,63.6,8.5,78.3,1827,2.27,1208,249,280,1126
30715,Hundsheim,628,15.3,23.2,10.2,73.8,4.7,67.7,10,85.1,284,2.21,195,50,51,80
30713,Hof am Leithaberge,1557,14.6,19.7,10.9,78.3,3.4,68.9,9.2,75.9,630,2.47,451,126,141,652
30712,Höflein,1249,15.4,17.6,5.4,77.2,3.8,72.2,8.7,78,505,2.47,370,120,123,289
30711,Haslau-Maria Ellend,2000,17.5,14.3,10.4,76.1,4.2,69.4,13.1,86.5,794,2.51,603,128,136,329
30710,Hainburg a.d. Donau,6818,18.8,19.6,37.1,59.8,8.9,60.8,11.8,68.8,2964,2.27,1857,348,437,2112
30709,Götzendorf an der Leitha,2070,15.2,19.7,13.5,76.4,3.9,67.5,10.7,85.8,865,2.39,600,131,145,469
30708,Göttlesbrunn-Arbesthal,1449,15.1,19.8,7,79.5,2.7,70.2,11.5,71.2,592,2.45,446,163,175,643
30706,Enzersdorf an der Fischa,3308,13.8,19.3,9.9,78.4,4.1,71.7,8.4,84.3,1461,2.26,990,213,239,1393
30704,Bruck an der Leitha,8007,14.5,21.7,17,71.9,7.4,62.3,11.9,68,3576,2.2,2246,638,808,4874
30703,Berg,901,18.6,20.6,38.3,59.8,5.6,61.9,12.4,80.7,385,2.34,262,57,61,124
30702,Bad Deutsch-Altenburg,1786,15.2,20,23.1,70.4,7.4,67.1,10,82.2,821,2.18,517,108,126,631
30701,Au am Leithaberge,938,13,22.2,7.2,79.8,3.1,68.8,8.3,80.7,389,2.41,277,73,80,224
30646,Blumau-Neurißhof,1847,14.5,16.6,10.9,75.1,8.2,67.2,8.2,89.6,915,2.02,526,93,99,240
30645,Weissenbach an der Triesting,1709,15.3,19.7,10.9,76.3,5.8,64.8,10.7,68.4,778,2.2,485,122,136,963
30641,Trumau,3724,15.7,16.1,16.2,74.9,6.3,63.7,12.7,81.2,1631,2.25,1056,211,241,1515
30639,Traiskirchen,19132,14.9,17.2,17.3,72.9,7.2,62.2,11.5,77.1,8113,2.27,5357,1312,1523,7797
30637,Teesdorf,1810,13.5,14.3,10.6,77.2,6.1,65.9,10.2,84.5,798,2.27,539,113,129,668
30636,Tattendorf,1483,15.2,18.7,11.5,78.9,2.9,64,12.6,75.9,634,2.33,432,152,164,616
30635,Sooß,1052,12.9,21.5,16.1,77,5.5,59.2,16.7,73.5,453,2.32,310,134,145,405
30633,Seibersdorf,1508,14.9,19.2,4.6,77.7,4.1,71.9,9.5,76.9,627,2.41,464,122,140,860
30631,Schönau an der Triesting,2136,15.7,16.2,10.1,77.9,4.5,64.4,12.1,80.5,940,2.27,647,119,129,697
30629,Reisenberg,1755,14.6,18.3,11.6,77.6,5.4,69.4,7.7,83.6,756,2.32,528,132,143,414
30627,Pottenstein,2928,14.5,20.8,13.6,72.7,8.4,63.1,8.5,79,1320,2.21,836,186,208,866
30626,Pottendorf,7192,15.4,18.2,12.5,72.5,7.7,62.9,10.6,82.6,3043,2.32,2074,397,443,1538
30625,Pfaffstätten,3588,16.1,18.4,11.3,75.7,4.1,58.1,22.2,83.9,1514,2.37,1058,270,296,784
30623,Oberwaltersdorf,4739,17.5,15.2,10.4,77.4,5.4,62.5,17.3,81.9,2071,2.29,1402,376,406,1358
30621,Mitterndorf an der Fischa,2886,18.9,11.4,14.2,78.4,5.6,66.3,9.1,89.7,1185,2.44,843,113,130,302
30620,Leobersdorf,4907,14.3,17.9,14.5,74.4,7.9,60.9,11.4,77.5,2266,2.17,1396,454,535,3129
30618,Kottingbrunn,7416,13.2,19.9,12.1,74.3,7.5,64.8,11.9,82.9,3234,2.29,2238,453,506,2937
30616,Klausen-Leopoldsdorf,1698,14.2,17.7,6.3,80.8,3.6,70.6,10,83.1,769,2.21,490,127,134,288
30615,Hirtenberg,2616,12,17.4,23.9,58.4,10.7,59.2,7.3,85,1020,2.24,637,110,130,1169
30614,Hernstein,1536,13.7,21.4,4.8,78.6,4.5,67.6,14,82.5,681,2.26,474,134,145,285
30613,Heiligenkreuz,1540,13.6,21,14.9,70.5,4.4,60.3,23.3,76.1,605,2.36,429,126,142,463
30612,Günselsdorf,1722,12.7,18.8,12.8,75.2,7.5,66,6.8,83.2,818,2.11,515,118,127,673
30609,Furth an der Triesting,858,17.1,18.2,4.7,83.1,3.8,72.2,7.5,75.6,339,2.53,251,84,89,174
30608,Enzesfeld-Lindabrunn,4226,13.4,20.9,9.9,73.9,6.6,66.2,11.9,80.3,1952,2.16,1260,358,394,1565
30607,Ebreichsdorf,11234,16.3,16.6,13.3,74.9,6.4,64.9,11.8,78.9,4827,2.33,3338,849,939,3707
30605,Berndorf,9059,14.5,21.1,17.3,70.8,9.5,59.9,9.6,69.3,4176,2.14,2530,547,623,3359
30604,Baden,25951,12.9,25.1,17.5,71.6,7.4,53.3,24.7,65.8,12747,2,6973,2375,2726,13762
30603,Bad Vöslau,12061,13.8,22.2,16.3,72.7,7.2,57.7,17.7,76.3,5270,2.23,3382,880,976,3790
30602,Altenmarkt an der Triesting,2090,15.7,20.1,13.6,72.6,3.8,65.9,11,67.5,764,2.51,564,189,200,574
30601,Alland,2574,12.3,20,11.8,75.8,3.8,63.3,14.8,72.7,1033,2.39,735,260,282,1002
30544,Zeillern,1887,18.4,16.2,2.3,81.8,1.9,69.2,8.6,79.1,677,2.79,549,127,136,388
30543,Ybbsitz,3410,15.4,20.4,2.3,81.4,1.3,65.9,7.6,52.8,1288,2.65,953,450,473,1898
30542,Wolfsbach,2044,18.3,15.8,4.4,82.5,2.1,67.7,11.7,72.8,670,3.01,564,186,200,559
30541,Winklarn,1760,16.9,15.3,5.4,81.9,2.4,67.5,12.6,82.8,669,2.63,523,139,147,352
30539,Weistrach,2262,16,16.5,1.9,82.2,1.5,67.3,9.3,75.1,845,2.68,656,201,212,698
30538,Wallsee-Sindelburg,2195,17,20,5.1,75.8,2.7,65.9,8.7,70.1,780,2.66,605,167,187,677
30536,Viehdorf,1364,18.2,20.4,3.6,80.5,2.8,68.3,8.8,76.7,485,2.75,389,113,119,325
30534,Strengberg,2087,18,17.7,5.2,82.1,2.5,66.9,8.4,70.9,776,2.68,607,195,212,578
30533,Sonntagberg,3818,14.4,22.4,6.6,75.5,4.4,66.7,6.7,71.7,1680,2.27,1110,187,215,1871
30532,Seitenstetten,3448,18.1,16.4,5,81.2,2.5,63.9,11.6,70.7,1246,2.75,977,245,275,1725
30531,St. Valentin,9300,13.3,20.1,7.9,77.7,3.9,66.1,10.8,64.7,4252,2.18,2715,626,732,5924
30530,St. Peter in der Au,5204,17.3,18.1,3.9,80.4,2.5,65.6,10.1,72,1875,2.7,1465,402,450,2147
30529,St. Pantaleon-Erla,2627,14.1,16.2,5,78.9,3,68.7,8.9,82.4,1032,2.54,792,143,155,811
30527,St. Georgen am Ybbsfelde,2846,16.7,16.4,5.2,79.3,2.7,67.4,8.7,78.3,1074,2.64,834,255,276,1016
30526,St. Georgen am Reith,546,16.5,22.5,2,81.4,1.4,72.1,3.9,66.3,200,2.73,159,52,56,118
30524,Opponitz,908,18.2,18,8,79,1.3,68.9,5.9,68.2,303,2.84,246,78,86,225
30522,Oed-Oehling,1934,16.7,13.8,6.3,80.6,3.2,67.2,11.8,85.4,760,2.54,572,102,120,456
30521,Neustadtl an der Donau,2142,17,17.6,2.9,82.3,2.2,67.5,6.8,70.6,726,2.93,619,194,206,538
30520,Neuhofen an der Ybbs,2975,19.2,15.1,3.8,80.8,1.6,67.1,9.9,73.7,1009,2.95,848,249,261,773
30517,Kematen an der Ybbs,2600,15,19.7,12.5,72.8,5.4,63.4,6.2,73.6,1167,2.22,726,122,158,1735
30516,Hollenstein an der Ybbs,1698,16,23,5.5,81.4,1.9,70.6,9.1,54.9,698,2.43,474,586,597,1027
30515,Haidershofen,3695,16.2,17.8,4,79.8,2.3,70.2,9.7,80.7,1460,2.53,1139,236,251,778
30514,Haag,5639,14.8,18.3,5.8,79.3,3.7,66.7,11,66.4,2252,2.46,1589,441,510,2309
30512,Ferschnitz,1831,17.3,14.6,1.7,83.2,1.9,69,10.2,82.4,665,2.75,532,104,112,384
30511,Euratsfeld,2679,19.3,13.8,2.2,81.9,2.4,68.4,9.6,73,890,3.01,765,209,219,642
30510,Ertl,1260,17.3,13.7,1,84.5,1.5,65,6.4,75.2,443,2.84,352,106,113,280
30509,Ernsthofen,2253,14.1,17.8,4.2,78.8,2,70.9,8.3,82.3,913,2.47,669,145,158,427
30508,Ennsdorf,3068,16,15.7,10.9,78,4.5,66.7,8.1,87.1,1317,2.33,877,150,180,1565
30507,Biberbach,2263,16.8,15.4,1.7,83.1,1.4,68.8,8.4,78,812,2.78,664,153,165,486
30506,Behamberg,3426,17.4,17.1,4.6,82.1,2.6,71.6,9.6,83.8,1358,2.52,1026,202,221,734
30504,Aschbach-Markt,3819,16.4,17.2,7.8,79.1,2.8,66.1,9.1,70.9,1408,2.7,1102,250,284,1969
30503,Ardagger,3541,17.5,17.6,3.2,80.6,2.5,68.1,8.8,75.4,1268,2.79,1014,286,305,1118
30502,Amstetten,23841,14.6,18.9,16.4,72.1,6.8,59.9,10.8,46,10672,2.19,6428,1478,1912,19115
30501,Allhartsberg,2147,17.7,15.8,2.2,79.2,1.4,67.6,9.3,75.6,753,2.84,615,155,169,735
21010,Steuerberg,1602,13.1,18.6,4.7,72.4,3.6,69.3,7.4,79,614,2.53,454,263,273,431
21009,Steindorf am Ossiacher See,3796,14.3,24.5,9.6,73.4,4.3,66.6,13.9,74.3,1702,2.17,1058,281,311,930
21008,St. Urban,1528,13.2,20.4,10.3,70.6,4.6,65.9,9.7,71.6,591,2.47,429,139,145,425
21007,Reichenau,1759,11.6,24.8,7.6,68.5,9.5,70.5,5,59.3,755,2.33,491,153,174,657
21006,Ossiach,753,13.5,25.5,12.9,69.5,5.9,59.8,22.1,69.4,354,2.05,205,76,92,304
21005,Himmelberg,2281,15,20.6,5,76.2,3.2,69.9,8.9,73.7,920,2.48,680,221,231,538
21004,Gnesau,1026,14.3,21.3,7.2,77.1,3.6,70.1,9.7,63.3,419,2.45,296,91,98,459
21003,Glanegg,1813,11.6,22.4,4.4,70.9,4.2,66.9,8.2,72.9,649,2.62,504,138,148,764
21002,Feldkirchen in Kärnten,14290,13.6,21.4,7.8,73.8,5,66.1,10.5,54.1,6315,2.21,4021,1088,1312,6879
21001,Albeck,986,14.8,23.9,6.1,73.7,3.7,70.6,9.2,64.3,444,2.22,264,108,115,264
20923,Wolfsberg,25012,13.6,22,7.2,74.7,4.5,65.8,10.5,39.2,11155,2.22,7190,2350,2708,14209
20918,St. Paul im Lavanttal,3285,13.5,24.1,4,74.3,4.2,66.7,9.2,61.5,1295,2.49,986,272,306,2331
20914,St. Georgen im Lavanttal,1968,14.7,18.3,1.9,75.6,2.8,69.4,6.8,76.4,760,2.59,568,154,166,464
20913,St. Andrä,9859,13.2,21.7,4.1,75.3,3.8,68.2,6.9,68.5,4010,2.42,2889,751,828,4662
20912,Reichenfels,1794,14.1,20.6,2.4,76.5,3,72.8,4.4,71,674,2.62,531,145,155,431
20911,Preitenegg,927,13.2,25,2.7,74.9,2.8,68,6.1,58.1,352,2.63,269,94,100,374
20909,Lavamünd,2877,13.3,23.2,4.9,74.2,4.6,67,4.9,69.3,1227,2.34,824,278,302,735
20905,Frantschach-St. Gertraud,2558,13.1,24.3,10.3,71.2,5,64.3,5.3,66.3,1047,2.37,706,214,246,1619
20901,Bad St. Leonhard im Lavanttal,4337,13.7,22.8,4.5,77.4,3,67.5,6.5,45.4,1676,2.54,1249,355,388,2432
20817,Völkermarkt,10919,14.1,21,7.9,72.2,6.9,67.7,10.7,59.4,4624,2.35,3146,887,1071,5580
20815,Sittersdorf,1970,11.8,21.9,6.8,69.7,4.6,67.9,9,79.9,850,2.27,562,183,194,463
20813,St. Kanzian am Klopeiner See,4488,13.5,21.9,11.2,68.5,8.2,66.4,13.1,72.8,1962,2.27,1287,433,472,1204
20812,Ruden,1514,13.6,20.8,5.1,72.3,6.6,69.1,6.7,78.1,599,2.53,433,105,119,667
20810,Neuhaus,1021,12.1,25.6,3.7,73.1,4.2,64.4,9.3,77.8,357,2.71,287,83,86,195
20808,Griffen,3431,14.6,20,6,75,5.1,69.3,7.8,65.5,1408,2.43,976,308,328,1491
20807,Globasnitz,1603,14.3,18.1,5.7,70.8,5.4,70.4,7.4,80,634,2.53,452,116,127,262
20806,Gallizien,1752,13.6,21.1,5.1,73,5,70.5,8.7,83,714,2.42,517,132,139,285
20805,Feistritz ob Bleiburg,2206,16.1,17.7,9.1,71,6.3,67.7,11.2,62.7,891,2.48,647,139,159,2397
20804,Eisenkappel-Vellach,2277,12.6,26.4,11.1,68.8,7.7,63.4,7,61.8,1018,2.16,607,176,208,626
20803,Eberndorf,5878,14.1,22.3,7.5,70.6,7.9,70.2,8.4,72.7,2528,2.31,1715,390,453,1836
20802,Diex,796,15.5,23,4.9,78.8,2.4,72.5,8.6,62.3,305,2.61,212,106,111,224
20801,Bleiburg,4067,14.3,20.3,14.5,70.5,7.7,66.1,9.1,66.5,1670,2.38,1100,346,385,1509
20727,Wernberg,5573,15.1,20.4,7.6,74.4,4.3,68.1,13.2,78.2,2247,2.42,1662,372,417,1813
20726,Weißenstein,2917,12.8,22.6,5.5,73.2,4.2,73.7,10.6,74.6,1214,2.37,869,185,208,1207
20725,Velden am Wörther See,9008,12.1,25.3,12.3,71.1,6.7,66.4,14.7,64.2,4085,2.16,2524,868,976,3192
20724,Treffen am Ossiacher See,4454,11.9,26.8,8.8,69.8,6,63,15.6,73.2,1842,2.25,1230,373,429,1893
20723,Stockenboi,1616,16.1,21.2,4.1,75,4.2,73.8,7.6,71.8,649,2.49,472,151,159,394
20722,St. Jakob im Rosental,4292,12,24.3,8.6,69.2,7.7,68.4,10.1,73.6,1926,2.19,1254,276,303,977
20721,Rosegg,1817,12.6,19.4,7.4,73,7.3,69.5,11.3,78.1,819,2.22,550,154,168,414
20720,Paternion,5790,12.6,23.6,6.5,73.4,5.6,71.8,8.3,66.8,2465,2.3,1715,379,434,2063
20719,Nötsch im Gailtal,2265,14,22.2,5.8,74.9,5,72.8,11.6,73.8,987,2.29,683,178,189,538
20713,Hohenthurn,877,12.9,21.2,14.7,67.3,4,70.8,11.6,78.7,342,2.37,242,78,81,230
20712,Fresach,1218,12.6,23.2,3.4,75.2,5.6,76.8,8,74.1,467,2.61,378,102,113,211
20711,Finkenstein am Faaker See,9045,13.9,19.9,10.4,74.2,5.2,68,13.6,76.7,4071,2.21,2679,699,774,2960
20710,Ferndorf,2098,11.8,24,5.5,69.2,8.3,76.1,6.9,77.2,969,2.17,628,135,149,402
20708,Feld am See,1077,13.6,23.6,5.8,72.9,5.7,74.3,8.6,73.2,481,2.24,319,91,100,273
20707,Feistritz an der Gail,618,14.7,24.1,2.4,78,3.2,70,9.7,74.2,259,2.39,180,61,62,260
20705,Bad Bleiberg,2183,11,27.6,9.6,69.5,7.4,69.8,8,66.7,1055,2.07,660,107,119,582
20703,Arriach,1343,13,23.8,3.6,76,4.4,71.8,8.2,70,542,2.48,398,127,135,265
20702,Arnoldstein,7016,14.6,20.6,13.8,71.9,6.7,68.8,8.4,72,3095,2.25,2040,388,444,2118
20701,Afritz am See,1408,12.5,26.1,4,76,4.7,71.2,6.7,77,575,2.29,395,96,106,323
20644,Reißeck,2102,12,25.5,5.3,69.5,7.8,73.6,6,68.4,901,2.33,642,124,140,645
20643,Lurnfeld,2671,13.2,22.1,4.2,71.8,5.1,71.8,9.9,71.4,1121,2.32,775,209,231,873
20642,Krems in Kärnten,1662,11,23.8,4,70.7,7.9,72.2,4.5,66.6,646,2.57,467,158,172,400
20640,Winklern,1220,13.8,22.5,4.9,70.3,8.3,68.1,7.3,68.3,524,2.22,329,90,109,530
20639,Weißensee,760,13.4,27,8,65.6,17.8,69.1,12.5,35.8,318,2.39,221,133,142,379
20638,Trebesing,1170,13.9,18.9,5.2,73.4,4.7,74.6,6.5,75.6,420,2.71,324,94,101,210
20637,Steinfeld,2042,14.8,23.6,6.3,69.3,7.5,71,6,68.8,825,2.42,577,142,162,485
20636,Stall,1531,13.7,19.1,2,69.1,5.8,72.5,3.6,76.8,565,2.71,439,103,109,274
20635,Spittal an der Drau,15353,12.2,23.3,13.5,68.3,10,66.7,9.8,44.3,7389,2.04,4257,1063,1386,11329
20634,Seeboden am Millstätter See,6455,12.6,25.6,8.5,70.8,6.6,66.9,13.9,68.5,2869,2.2,1837,555,608,2164
20633,Sachsenburg,1328,14.9,20.6,9.9,72.9,7.8,71.9,7.3,75.2,567,2.3,383,75,81,726
20632,Rennweg am Katschberg,1738,12.7,21.1,3.5,74.1,7.1,72.1,6,59.1,745,2.33,494,187,201,748
20631,Rangersdorf,1707,18,18.6,3.5,75.6,5.3,71.9,4.3,71.7,685,2.49,476,116,124,447
20630,Radenthein,5789,11.2,26.5,7.8,68.1,9.5,70.6,7.3,58.6,2636,2.17,1705,420,482,1910
20627,Obervellach,2171,13.9,23.4,7,70.2,8.5,71.9,7.8,62,939,2.29,609,190,214,853
20625,Oberdrauburg,1187,13.9,22.9,7.1,70.1,5.7,67.7,5.8,73.9,479,2.43,348,76,91,263
20624,Mühldorf,1006,13.9,24.7,5.8,74.3,6,71.4,6,77.6,402,2.31,272,72,79,290
20622,Mörtschach,827,15.2,16.8,1.7,76.7,6,70.9,6,73.3,292,2.83,235,72,77,170
20620,Millstatt am See,3443,10.9,26.1,11.3,70.5,6.6,67.3,14.3,68.4,1590,2.17,1005,324,354,946
20619,Malta,1943,12.4,20.2,3.1,72,7.3,72.5,5.5,76.5,802,2.42,568,155,166,328
20618,Mallnitz,761,10.4,29.4,12.6,62.2,12.7,72.6,9.8,57.3,352,2.16,225,90,102,248
20616,Lendorf,1704,13.3,19,3.5,74.3,4.6,74.5,8.3,74,633,2.69,517,155,170,569
20613,Kleblach-Lind,1170,15.9,22.1,1.9,78.2,3.5,75.5,6.8,68.5,422,2.77,342,102,108,253
20611,Irschen,1962,14.1,20.3,3.8,74.7,4,73.5,6.2,77.1,775,2.53,584,131,137,353
20610,Heiligenblut am Großglockner,996,14.3,24.8,5.2,66.1,13.5,76.6,5.5,41.6,426,2.34,285,133,144,356
20609,Greifenburg,1727,13.3,22.9,8,71.1,8.3,68.5,7.9,60.3,743,2.32,505,152,178,729
20608,Gmünd in Kärnten,2553,13.4,23.1,3.7,72.5,7.8,71.7,8.4,62.5,1123,2.23,740,219,252,1146
20607,Flattach,1191,15,18.7,5,71.5,6.9,74.6,5,67.1,486,2.45,332,104,119,436
20605,Großkirchheim,1309,14.4,21.6,5.1,64.3,10.1,69.9,6,65,530,2.47,365,98,108,276
20604,Dellach im Drautal,1590,13.5,24.7,4.6,72.2,6.7,70,6.5,62.8,681,2.33,465,117,134,559
20603,Berg im Drautal,1276,14.3,23.3,3.8,74.2,5.6,69.4,8.3,64.1,496,2.57,377,121,125,327
20602,Baldramsdorf,1865,13.2,20.4,4.1,72.5,5.3,74.9,5.4,86.2,788,2.37,567,92,100,211
20601,Bad Kleinkirchheim,1700,9.6,27.1,18.2,69.9,10.6,67.7,10.7,41,853,1.98,459,269,300,1197
20534,Frauenstein,3548,15.1,20.4,4.5,74.5,3.4,67.9,14.9,80.5,1421,2.49,1081,408,432,880
20531,Weitensfeld im Gurktal,2040,12.2,24.3,4.7,71.5,4.1,68.8,7.7,64.5,820,2.43,580,215,235,649
20530,Straßburg,2012,15.3,23.6,4,72.3,3.3,67.5,7.8,62.4,789,2.43,553,212,235,719
20527,St. Veit an der Glan,12395,12.3,22.2,12.2,71.1,6.3,62.8,11.3,55.3,6154,1.97,3331,987,1225,8091
20523,St. Georgen am Längsee,3595,14.2,20.6,6.1,75.5,3.9,67.2,13.9,77.9,1509,2.35,1047,323,342,1094
20520,Mölbling,1310,16.1,18.2,4.1,76.5,3.4,71.3,9.5,77,542,2.42,385,129,137,347
20519,Micheldorf,1002,12.5,24,5.5,70.5,3.4,66.1,6.5,78.6,432,2.22,285,59,67,362
20518,Metnitz,1959,14.1,24.5,2.5,75.8,3,69.9,7.4,63.8,713,2.75,552,261,270,515
20515,Liebenfels,3320,15.8,19.5,5.3,73.8,3.4,68.4,10.3,73.3,1316,2.47,936,269,293,1010
20513,Klein St. Paul,1719,13.6,24.3,2,73,3.8,68.9,6.1,64.7,783,2.2,479,140,157,547
20512,Kappel am Krappfeld,1939,14.2,20,6,75.5,3.8,69.8,10.2,77.2,793,2.45,578,157,165,398
20511,Hüttenberg,1373,10.6,27.2,5,70.8,5.1,69.4,5.1,70.3,665,2.06,382,122,134,315
20509,Guttaring,1487,14.5,20.9,4.7,75.8,4.1,70.1,9.8,70.4,624,2.35,422,150,157,457
20508,Gurk,1201,13.7,22.3,3.2,73.3,4,72.2,5.8,68,537,2.24,349,109,117,333
20506,Glödnitz,810,12.6,25.1,6,74.1,4.6,67.4,7.5,67.4,354,2.29,230,87,93,222
20505,Friesach,4961,12.4,25.6,3.4,72.5,4,67.6,9.2,57.3,2145,2.2,1388,379,442,2175
20504,Eberstein,1232,12.2,24.4,5.8,72,5.7,67.7,6.9,68.3,522,2.27,335,122,133,348
20503,Deutsch-Griffen,901,13.9,25.6,4.7,63.7,3.2,65.3,4.6,63.7,308,2.6,237,80,85,190
20502,Brückl,2754,13.7,21.6,5.8,73.5,4.8,68.1,8.1,71.4,1223,2.25,824,182,203,891
20501,Althofen,4709,13.3,20.6,7,72.7,5.8,65.7,9.1,51.1,2370,1.98,1315,291,365,3980
20442,Magdalensberg,3522,15.7,21.7,5.4,77.4,4,69.3,12,78.7,1387,2.48,1053,284,306,922
20441,Zell,608,14.6,23.8,2.8,71.4,4.2,62.6,11.8,78.1,246,2.47,155,44,46,79
20435,Techelsberg am Wörther See,2199,12.1,21,7.7,74.4,6.1,66.3,12.5,80.8,849,2.55,622,174,185,458
20432,Schiefling am Wörthersee,2641,13.7,20,12.7,69.5,6.2,65.8,13.7,77.9,1182,2.23,768,205,222,467
20428,St. Margareten im Rosental,1089,15.9,23.2,4.8,74.1,3.1,69.2,9,81.2,456,2.39,311,70,74,148
20425,Poggersdorf,3199,15.6,18.6,4.1,76.8,4.4,71.1,10,83.7,1337,2.38,958,235,274,1002
20424,Pörtschach am Wörther See,2890,12.2,25.5,13.4,69.7,7.9,60.4,22.1,70.1,1388,2.06,807,327,362,1156
20421,Moosburg,4462,15.7,22.5,4.6,74.2,4.4,67.6,13.8,75.6,1793,2.36,1251,326,360,1275
20419,Maria Wörth,1619,11.5,26.7,11.7,71.6,4.8,56.9,26.9,76,814,1.91,411,158,183,629
20418,Maria Saal,3872,14.2,22.8,6.4,71.8,4.1,64,18.7,78.7,1628,2.36,1179,322,346,1292
20417,Maria Rain,2567,15.7,19,8.1,76,4.1,66.1,17.8,83.4,1090,2.36,780,196,203,416
20416,Ludmannsdorf,1778,13.6,20.9,5.3,73.9,4.8,68,12.8,80.5,737,2.41,522,127,133,355
20415,Krumpendorf am Wörthersee,3441,14.4,23.4,11.2,71.6,4.6,54.2,30.9,78.5,1670,2.06,956,341,375,1290
20414,Köttmannsdorf,3060,14.7,21.6,8.8,75.6,4.6,69.8,13.1,82.1,1293,2.37,934,216,228,557
20412,Keutschach am See,2447,13.2,23,7.6,73.4,5,63.7,17.8,77.6,1083,2.26,723,224,237,551
20409,Grafenstein,2971,14.9,18.5,7,75.1,4.8,68.6,12.3,78.3,1241,2.39,889,258,287,980
20405,Ferlach,7139,12.5,24.2,13.1,69.7,6.8,64.9,11.1,57.6,3283,2.13,2021,475,546,3049
