Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
70527,Thiersee,3017,16.1,19.2,14.9,79,2.1,69.8,8.6,64.7,1284,2.35,867,259,276,995
70526,Söll,3658,16.2,17.3,12.3,75.6,7.3,68,8,59.2,1496,2.45,1050,386,422,1506
70525,Schwoich,2560,16.6,17,9.3,79.6,3,69.5,9.5,75.2,1035,2.47,768,243,251,1061
70524,Scheffau am Wilden Kaiser,1472,13,20.6,16.1,71.8,6.3,65.9,8,60.6,608,2.33,415,172,181,559
70523,Rettenschöss,543,19.5,15.5,12.5,82.4,1.7,72.3,7.8,72.5,200,2.72,158,54,57,123
70522,Reith im Alpbachtal,2758,15.2,18.2,13,79.1,3.8,65.4,8.7,67.6,1083,2.49,774,278,299,1073
70521,Rattenberg,444,14.2,16.9,36.5,77.1,6.5,57.2,13.6,79.3,234,1.9,112,61,78,356
70520,Radfeld,2555,16.4,14.1,15.2,78,4.5,64.3,8.4,81,1098,2.32,708,153,169,1255
70519,Niederndorferberg,729,18.8,14,15.6,78,2,70.6,7.9,74,270,2.7,195,52,57,140
70518,Niederndorf,2825,16.3,17.3,14.7,79.1,1.7,69.4,9.6,77.4,1195,2.36,840,181,203,932
70517,Münster,3395,15.8,15.6,7.6,80.9,1.8,67.2,10,80.1,1403,2.4,984,171,187,864
70516,Mariastein,442,18.1,10.4,12.7,79.4,2.3,62.2,16.3,84.1,157,2.75,124,33,37,115
70515,Langkampfen,4180,16.5,17.1,12.7,80.2,2.4,67.8,9.5,71,1773,2.34,1242,236,264,3679
70514,Kundl,4707,16.7,16.3,15,80.4,2.8,64,11.4,58,1986,2.34,1319,316,370,5653
70513,Kufstein,19511,14.6,17.1,28.1,72.1,5.3,55.9,14.3,48.7,9038,2.13,5147,1464,1745,12491
70512,Kramsach,4976,14.6,18.7,10.1,78.8,2.9,66.4,13.4,71.7,2153,2.28,1407,371,421,2453
70511,Kirchbichl,5829,15.7,18.8,12.7,76.7,4.4,64.9,9.6,74.7,2487,2.31,1690,442,502,2903
70510,Erl,1564,16.4,17.5,20.6,75.8,2.4,67.9,9.6,63.1,629,2.45,437,133,144,622
70509,Ellmau,2830,13.7,20.4,23.1,73.6,5.8,67.2,7.2,46.8,1291,2.18,792,369,403,1616
70508,Ebbs,5634,15,18.6,14,78.8,2.6,68.4,8.7,63.4,2393,2.31,1600,461,496,2666
70506,Brixlegg,3016,13,18.4,14.5,79,3,64.5,11.5,69.9,1357,2.2,851,266,322,2155
70505,Breitenbach am Inn,3476,15.5,16.5,8.1,81.6,2.2,64.2,10.2,79,1345,2.58,1004,226,237,626
70504,Brandenberg,1530,15,20.8,6.3,81.4,1.2,70.3,4.4,78.8,561,2.7,441,114,122,255
70503,Bad Häring,2830,16.3,17.6,15.2,76.7,3,63.9,12.4,72.5,1174,2.34,817,149,166,1016
70502,Angath,1017,16.2,13.8,11.1,80.3,3,66.4,7.6,87.1,391,2.6,289,61,68,211
70501,Alpbach,2531,15.2,19.6,10,77.1,2.5,65.9,7.6,55.3,984,2.57,680,223,238,852
70420,Westendorf,3663,12.8,21.2,13.3,74,7.1,67.9,8.3,56.2,1585,2.28,1034,420,457,1241
70419,Waidring,2045,13.8,20,12.9,76.7,4.6,70.8,6.2,59.8,823,2.48,603,181,193,651
70418,Schwendt,850,13.6,16.6,20.1,75.5,3.7,67,8.2,72.5,336,2.53,251,74,77,187
70417,St. Ulrich am Pillersee,1870,16.4,18,20.7,75.1,4.7,70.8,7.6,58.9,775,2.4,529,161,174,702
70416,St. Johann in Tirol,9535,13.6,19.6,20.3,74.9,4.8,64.2,11,45.4,4403,2.14,2673,937,1107,6922
70415,St. Jakob in Haus,785,16.4,16.4,11.1,77.4,3.2,72.1,7.5,78.1,329,2.39,227,67,69,182
70414,Reith bei Kitzbühel,1679,12.5,25.6,22,68.1,3,66.4,13.8,63.3,811,2.07,440,187,203,697
70413,Oberndorf in Tirol,2287,13.9,22.2,16.8,76.3,3.7,65.8,10.7,66.4,999,2.22,639,239,270,1235
70412,Kössen,4414,14.6,19.9,20.2,76.4,3.4,69.8,7.9,50.1,1889,2.31,1260,419,469,1769
70411,Kitzbühel,8190,9.9,26,22.8,69.3,5.8,62.5,13.6,33.1,4092,1.95,2171,1288,1492,7474
70410,Kirchdorf in Tirol,3975,15.5,17.7,15,77.9,4.4,68.8,8,63.9,1628,2.43,1167,357,389,1863
70409,Kirchberg in Tirol,5228,11.4,22,20.5,71.2,7.8,66.9,9.2,52.1,2448,2.11,1415,621,688,2049
70408,Jochberg,1521,12.6,23.7,14.5,73.1,4,71,6.2,64.6,706,2.15,432,158,173,545
70407,Itter,1176,13.1,19,11,78.7,4.2,67.9,9,73.3,496,2.37,349,111,124,468
70406,Hopfgarten im Brixental,5646,15.1,18.5,11.2,76.7,4.9,67,8.3,55.6,2433,2.3,1604,538,589,2310
70405,Hochfilzen,1244,16.4,18.3,12.4,77.2,1.8,68.8,6.6,73.5,514,2.42,375,92,106,501
70404,Going am Wilden Kaiser,1868,12.4,17.6,19.6,74.5,3.8,70.3,8,62.9,783,2.34,517,189,202,876
70403,Fieberbrunn,4319,14,20.7,12.7,75.5,3.9,66.3,8.9,49,1863,2.26,1220,415,475,2086
70402,Brixen im Thale,2644,13.6,21,12.5,77.3,3.9,69.5,7,61.2,1170,2.24,760,253,273,869
70401,Aurach bei Kitzbühel,1122,11,25.5,18.8,72.9,2.2,68,9.9,59.4,543,2.07,313,157,164,584
70369,Zirl,8130,15.6,14.8,12.1,79.5,2.2,61.2,18.6,75.6,3411,2.33,2338,553,659,3602
70368,Wildermieming,965,17.1,16.3,10.7,82,2,61.4,19.9,78.4,367,2.62,265,74,77,254
70367,Wattens,8031,14.5,19.4,12.2,78.1,2.2,59.8,11.5,59.8,3702,2.12,2281,471,569,7737
70366,Wattenberg,743,15.5,13.3,3.9,81.5,2,68.9,10.7,82.2,294,2.53,205,69,76,177
70365,Volders,4457,15.3,16,9.3,80.3,1.5,64.4,12.1,83,1885,2.33,1308,298,331,1177
70364,Völs,6950,15.4,23.6,12.8,78.1,2.3,60.5,17.7,81.8,3149,2.19,1992,332,442,2951
70362,Vals,529,14,18.1,3.4,83.8,1.3,59.3,4.2,82.3,196,2.7,143,40,45,113
70361,Unterperfuss,224,9.4,40.2,11.6,84.1,0,58.6,8.4,69.9,71,2.23,43,19,21,176
70360,Tulfes,1644,16.1,16.2,10.4,81.4,1.4,66.4,14.4,81.3,679,2.41,485,148,157,362
70359,Trins,1319,14.6,18.2,6.7,82.5,1.3,65.4,13.1,83.4,521,2.53,392,94,100,204
70358,Thaur,4055,16.1,15.7,11.1,82.1,1.5,63.7,18.4,77.9,1686,2.37,1146,389,425,2197
70357,Telfs,15985,16.3,15.7,18.8,73.2,4.3,53.9,12,61.4,6592,2.38,4388,906,1079,6820
70356,Telfes im Stubai,1595,15,18.1,11.7,78.6,2.4,64.8,15.9,82.5,669,2.38,464,108,118,292
70355,Steinach am Brenner,3634,15.7,18.7,13.6,79.2,2.9,65.5,9.3,74.9,1565,2.3,1024,225,269,1349
70354,Hall in Tirol,14106,15,19.8,20.3,76.2,3.3,54.4,16.2,67.1,6085,2.2,3713,1032,1278,11917
70353,Sistrans,2250,16.8,19.1,8.1,77.6,1.4,55,30.7,82,942,2.39,660,190,204,530
70352,Sellrain,1324,13,22.3,4.9,81,1.4,63.5,8.5,87.1,540,2.45,411,57,60,111
70351,Seefeld in Tirol,3457,12.9,21.8,33.2,66.4,12.3,58.9,13.2,42,1690,2.02,905,385,444,2078
70350,Schönberg im Stubaital,1111,17.3,16.3,20.3,79.1,2.1,61.3,10.9,79.2,426,2.55,304,74,92,468
70349,Schmirn,870,15.7,18,2.4,82.1,0.4,62.2,4.1,86.2,324,2.69,250,45,51,83
70348,Scharnitz,1352,14.7,21.2,26.4,68.6,4.4,70.2,8.7,78.6,585,2.31,391,78,87,206
70347,St. Sigmund im Sellrain,175,9.7,22.3,12,80.7,2.9,67.7,7,81.4,69,2.54,53,18,18,25
70346,Rum,9265,15.3,21.2,13.4,78.2,2.8,59.8,16.2,82.2,4185,2.19,2591,492,592,4359
70345,Rinn,1937,18.1,13.8,9,81,1.3,63.1,19.9,81.1,778,2.49,554,126,136,316
70344,Reith bei Seefeld,1384,14.9,15.8,26.2,73.3,6.9,62.6,16.1,73.7,593,2.24,354,128,142,485
70343,Ranggen,1105,17.9,13.6,8.2,81,0.6,63.9,16.5,82.9,420,2.63,325,77,79,198
70342,Polling in Tirol,1235,21.9,12.2,10.2,82.3,2.6,64.4,13.3,81.9,438,2.79,364,83,89,498
70341,Pfons,1235,15,19.4,4.6,80.5,1.6,68.6,11,85.9,492,2.51,374,68,74,252
70340,Pfaffenhofen,1140,18.1,15.4,11,78,2.7,57.9,13.3,86.9,452,2.52,323,74,89,549
70339,Pettnau,1057,14.1,15.4,8.1,81.1,2.1,63.2,14.9,86,464,2.28,320,68,74,226
70338,Patsch,1051,15.1,17.5,9.8,83.5,1.9,62.6,22,83.9,449,2.34,303,85,94,215
70337,Oberperfuss,3105,16.9,16.3,6.2,82.4,1.7,65.2,14.9,81.8,1238,2.48,901,220,237,505
70336,Obernberg am Brenner,367,16.1,20.4,6,83.3,2.4,60.7,10.4,71.5,139,2.64,98,39,42,83
70335,Oberhofen im Inntal,1860,19.6,15.7,9,79.1,2.2,61.1,12.7,78,724,2.57,558,106,115,562
70334,Neustift im Stubaital,4807,15.2,15.2,14.2,79.7,2.7,61.3,7.8,51.8,1852,2.57,1369,503,542,2353
70333,Navis,2043,16.4,15.8,3.8,84,1.1,66,6.3,81.4,805,2.54,599,126,135,609
70332,Natters,2076,13.1,22.9,10.1,79.7,1.8,61.3,23.8,78.7,936,2.18,593,174,184,830
70331,Mutters,2230,15.8,17.8,13.9,79.1,2,57.8,23.2,78.6,905,2.44,641,201,219,647
70330,Mühlbachl,1429,14.6,23.9,12.1,80.2,2.6,58.1,5.4,78,579,2.31,377,86,94,602
70329,Mils,4495,15.8,20.4,10.2,77.5,1.9,58.2,21.9,79,1804,2.42,1269,438,491,2330
70328,Mieders,1871,16.7,15.2,15.7,77.8,2.9,58.8,18.4,76.1,740,2.53,528,153,173,817
70327,Matrei am Brenner,936,14,18.3,12.9,78.1,1.4,66,7,79.7,427,2.19,265,82,93,375
70326,Leutasch,2396,12.1,20.5,24.9,68.9,7.5,63.4,10.1,54.1,1046,2.25,673,278,295,803
70325,Lans,1091,15.2,17,10.5,81.6,1.4,53.6,32.2,74.9,476,2.29,300,126,140,651
70323,Kolsassberg,818,15.4,16.3,7.8,82.3,1.9,62.9,10.5,78.5,328,2.49,246,63,65,132
70322,Kolsass,1633,15.9,16.2,7,80.5,1.2,62.8,13.8,81,665,2.46,494,121,134,466
70320,Kematen in Tirol,2944,15.7,15,11.3,80.7,2.2,63.5,17.4,77,1287,2.27,841,200,243,2219
70319,Inzing,3951,17.1,16,9.9,80.3,2.3,64,17.7,78.7,1624,2.41,1162,247,279,1687
70318,Hatting,1469,17.5,14.4,10.6,81.2,2.1,62,16.7,85.6,617,2.38,436,86,96,182
70317,Gschnitz,441,16.8,20.6,6.3,79.3,2.6,61.9,5.4,75.3,148,2.98,127,42,43,83
70315,Grinzens,1406,15.1,16.4,8,79.2,1.8,62.9,15.1,91,534,2.63,406,70,72,162
70314,Gries im Sellrain,619,17,17.6,6.1,77.8,3.9,68.7,7.4,79.9,241,2.57,175,38,42,91
70313,Gries am Brenner,1323,15,18.1,12,75.7,2.3,59.8,8.4,76.2,563,2.31,354,98,117,431
70312,Götzens,4076,14.2,17.4,12,80.1,1.8,60.2,19.5,81.9,1802,2.26,1199,270,303,1071
70311,Gnadenwald,816,17.4,17.5,8.5,82.3,0.4,61.4,20.8,75.2,336,2.43,239,82,87,234
70310,Fulpmes,4455,16.3,16.6,16.5,76.5,4.8,58.5,10.9,57,1767,2.47,1273,345,385,2127
70309,Fritzens,2169,16,16,8.9,81.3,1.5,67,13.6,84.4,934,2.31,633,118,133,563
70308,Flaurling,1311,16.6,15,9.2,78.8,1.6,58.7,14.6,86.5,512,2.53,390,69,75,254
70307,Ellbögen,1126,16.4,18.7,3.9,84.7,1.4,70,10.8,85.7,452,2.49,328,66,67,134
70306,Birgitz,1485,16.2,19.2,10,80.7,1.8,60,23.2,88.3,660,2.25,433,85,93,240
70305,Baumkirchen,1267,15.2,15.9,11.9,81.2,1.9,63,12.2,87.4,520,2.42,371,72,81,165
70304,Axams,6050,14.6,19.5,9.8,79,2.1,61.9,19,80,2598,2.29,1783,405,444,1592
70303,Ampass,1831,16.7,14.3,14.1,80.7,2.4,62.3,17.5,80.2,770,2.36,513,148,162,412
70302,Aldrans,2719,16.8,16.8,12.6,79.5,1.5,56,29.4,81.1,1169,2.28,751,239,258,665
70301,Absam,7298,14.6,19.4,8.7,80,1.9,61.1,20.4,78.3,3233,2.23,2127,558,608,2797
70224,Wenns,2040,14.2,17.4,7.3,74.2,5.2,62.9,7.5,73.2,834,2.45,585,136,152,500
70223,Umhausen,3304,16,13.6,12.5,74.4,6.9,63.6,5.8,69.1,1262,2.61,921,224,251,936
70222,Tarrenz,2749,15.8,15.8,8.5,75.7,3,66.4,8.5,82.3,1112,2.47,812,160,177,565
70221,Stams,1542,18,15.4,10.7,78.8,3,62.5,13.8,77.3,593,2.54,450,101,121,1057
70220,Sölden,2990,13.5,15.6,15.1,74.1,8.8,64.2,4.8,15.9,1163,2.5,804,602,679,3673
70219,Silz,2549,15.7,19.1,8.6,75.3,2.7,62.6,13.6,70.7,984,2.48,709,225,251,1048
70218,Sautens,1630,16.4,15.6,17.5,74.5,5,64.3,8.1,81,643,2.53,467,100,105,243
70217,St. Leonhard im Pitztal,1384,14.2,16.6,8,69.1,8.5,61.6,3.7,45.9,533,2.6,389,118,128,582
70216,Roppen,1813,16.7,14.9,10.6,77.1,2.8,66.6,8.7,85.3,713,2.5,523,80,94,636
70215,Rietz,2356,16.6,16.3,6.3,80,2.1,66.6,9.7,80.4,951,2.48,716,128,135,782
70214,Oetz,2368,15,17.1,12.7,71.3,8,65.8,10,65.1,947,2.49,690,196,226,1023
70213,Obsteig,1365,16.2,16.6,13.9,76.7,2.8,62.2,16.3,76.4,552,2.46,384,113,123,323
70212,Nassereith,2159,15,21,9.2,75,3.9,61.3,7.7,73.1,839,2.51,608,122,143,572
70211,Mötz,1244,14.7,16,10.3,74.1,3.6,66.8,12,87.4,518,2.4,373,62,69,157
70210,Mils bei Imst,605,14.9,15.2,6.6,80.4,4.5,63.9,10.5,82.4,232,2.61,185,54,55,336
70209,Mieming,3770,15.8,17.3,10.6,79,2.4,61.6,18.8,69.9,1518,2.43,1086,286,310,1321
70208,Längenfeld,4733,17,12.9,11.4,78.4,5.6,65.8,5.4,52.5,1696,2.76,1320,361,409,1987
70207,Karrösten,681,12.2,19.2,5.4,80.3,2.3,66.2,12.2,85,281,2.4,207,40,47,142
70206,Karres,617,15.1,14.6,1.8,80.4,2.5,66.4,5.9,83.8,229,2.69,184,33,40,102
70205,Jerzens,946,15.3,16,11.6,70.8,8.4,63.4,4.9,65.9,364,2.6,275,74,87,273
70204,Imsterberg,800,18.3,13.6,2.9,80.7,2,70,9.3,81,265,3.02,228,36,42,170
70203,Imst,10779,15.8,16.1,17.8,74.7,4.5,57.4,12.6,47,4582,2.29,2973,835,1068,8056
70202,Haiming,4744,16.7,15.5,9.2,74.5,4.4,62.7,10.5,66.7,1822,2.57,1360,343,416,2678
70201,Arzl im Pitztal,3148,16.3,16.8,9.4,76.3,4,63.9,7.9,77,1269,2.45,903,173,191,1003
62390,Straden,3523,11.5,23,3.2,77.7,1.9,66,6.7,65.3,1381,2.55,1092,398,419,1674
62389,Sankt Stefan im Rosental,3907,14.1,19.7,2.6,79.8,2.6,61.3,6,66.5,1433,2.72,1150,374,419,1544
62388,Sankt Peter am Ottersbach,2945,12.9,20.7,3.2,79.8,2.9,64.5,5.9,73,1077,2.69,860,285,308,1662
62387,Sankt Anna am Aigen,2364,11.8,22,2.1,79.5,2.1,63.8,5.2,70.7,864,2.71,707,237,257,673
62386,Riegersburg,4954,13.1,20.9,3.6,80,2.2,62.1,6.5,72.3,1859,2.66,1527,469,496,1675
62385,Pirching am Traubenberg,2532,14.5,17.9,3.2,80.3,2.2,64.9,6.7,81,931,2.72,774,183,193,561
62384,Paldau,3159,14.8,19.6,2.5,77.9,3.8,64.5,4.6,74.9,1171,2.68,961,281,297,1038
62383,Mureck,3529,11.7,24.8,9.8,73,5,66,8.5,67.3,1547,2.25,1030,326,388,1616
62382,Kirchberg an der Raab,4578,14.7,19.2,4.4,78.8,3.1,64.7,6.8,70.4,1810,2.51,1373,450,477,1915
62381,Kirchbach-Zerlach,3267,13.7,20.3,3.3,79.5,3.3,63.7,7.5,71.2,1213,2.66,974,303,344,1338
62380,Gnas,5994,13.8,19.8,2.1,79.1,2.9,64.6,5.4,62,2095,2.84,1790,659,700,2297
62379,Feldbach,13457,14.2,19.7,12.6,73.1,5.9,61.2,8.4,53.8,5871,2.27,3853,1030,1318,9807
62378,Fehring,7180,12.7,23,4.1,75.1,3.1,61.3,7.7,64.4,2911,2.4,2094,635,707,2884
62377,Deutsch Goritz,1798,12.6,21.7,3.2,77.7,2.6,67.3,6.9,69.1,716,2.51,549,197,217,1078
62376,Bad Radkersburg,3178,10.7,29.5,12.8,69,5.6,63.4,11.1,44.8,1435,2.12,883,321,400,2988
62375,Bad Gleichenberg,5221,12.6,23,7.1,73.9,3.9,64.6,8.8,59.7,2266,2.24,1499,450,534,2791
62372,Unterlamm,1248,13,20.7,1.8,77.9,2.2,57.3,5.9,80.4,494,2.47,372,89,98,261
62368,Tieschen,1223,11.6,25.6,3.4,78.1,1.9,68.7,6.8,77.2,492,2.45,367,122,128,275
62347,Murfeld,1678,13.8,18.5,5.9,76.3,3.4,67.8,7.9,81,668,2.51,521,134,146,346
62343,Mettersdorf am Saßbach,1284,12,23.1,5.9,81.2,3.1,63,5.5,69.6,464,2.66,375,126,130,657
62335,Klöch,1166,11.1,25,2.7,77.5,2.8,66.2,6.7,66.2,505,2.31,368,160,165,502
62332,Kapfenstein,1566,14.5,21.3,2.7,76.8,2.6,61.2,5,74.3,527,2.97,473,146,157,506
62330,Jagerberg,1639,14.2,20.1,2,79.7,2.5,63,4.6,71,567,2.89,481,181,186,561
62326,Halbenrain,1742,10.8,24.8,4.1,74.8,4.5,66.7,7.3,71.2,671,2.5,517,173,196,711
62314,Eichkögl,1336,17.2,16.6,2.9,78.7,2.7,63.3,8,83.4,491,2.72,411,108,115,235
62311,Edelsbach bei Feldbach,1350,15.2,20,3.3,78.9,2.9,65.1,6.6,76.7,494,2.73,409,129,133,587
62279,Waldbach-Mönichwald,1471,11.9,24.7,2.5,76.8,4.2,68.7,5.9,62.2,543,2.71,431,176,187,452
62278,Vorau,4702,14.2,22,1.9,78.2,2.1,68.5,6.3,55.9,1678,2.76,1403,463,501,1817
62277,Rohrbach an der Lafnitz,2644,12.4,22.5,2.4,78.3,4,67.4,7,69.7,1015,2.59,806,217,232,1006
62276,Rohr bei Hartberg,1451,12.5,22,3.7,76,5.7,67.2,5.3,82.8,606,2.39,448,112,120,370
62275,Pöllau,5934,13.1,20.9,1.8,80.1,2.8,66.6,6.6,59.3,2100,2.81,1776,626,683,2545
62274,Neudau,1507,17.4,20.6,20.6,60.1,11.1,58.7,5.2,72.6,614,2.35,403,96,109,430
62273,Loipersdorf bei Fürstenfeld,1848,12.8,21.6,4.5,78.4,4.2,65.6,6.2,71.9,750,2.46,569,174,190,1044
62272,Kaindorf,3004,14.9,19.2,4.7,76.8,3.2,66.3,6.5,70.1,1126,2.57,836,293,318,1304
62271,Ilz,3775,14.7,18.4,5,79.3,3.6,65.5,8.8,72.8,1556,2.43,1128,366,411,2361
62270,Hartl,2105,15.5,16.4,1.3,79.6,2.6,69.9,3.7,71.1,736,2.86,661,223,228,1037
62269,Großwilfersdorf,2071,13.3,19.6,6.3,77.1,3,63.9,10.7,69.7,840,2.45,623,204,231,1208
62268,Grafendorf bei Hartberg,3145,15.1,19.1,2.8,78.5,3.7,69.4,7,67.2,1134,2.77,956,341,357,1417
62267,Fürstenfeld,8653,12.4,23.3,9.6,73.4,6.4,62.7,12.5,54.7,4139,2.05,2449,793,1012,5724
62266,Feistritztal,2405,13.9,19.6,3.3,79,2.5,67.1,6.5,77.3,925,2.59,719,201,214,705
62265,Dechantskirchen,2018,14.3,19.1,1.5,79.3,2.5,66.8,7.6,78.4,748,2.7,599,156,164,425
62264,Bad Waltersdorf,3831,14.1,18.5,4.6,79.9,3.9,67.7,7.5,65.6,1518,2.52,1149,369,408,2072
62262,Wenigzell,1392,14.4,21.4,3.4,78.1,1.8,64.7,8.9,58.8,436,3.17,419,178,189,528
62256,Stubenberg,2212,13,23.3,4.2,77.4,2.8,64.8,8.5,63.9,819,2.61,639,226,253,922
62252,Söchau,1460,12.9,25.3,3.7,75.9,3.7,60.5,8.3,82.3,553,2.48,447,110,115,316
62247,Schäffern,1349,16.2,18.1,1.3,79.7,2.2,68.1,6,73.2,441,3.02,385,141,148,309
62245,Sankt Lorenzen am Wechsel,1458,12.8,21.9,0.9,80.3,3.4,71.2,4.3,72.9,552,2.64,451,146,152,314
62244,Sankt Johann in der Haide,2189,13.5,19.4,3.9,77.2,3.6,69.7,6.3,78.2,919,2.3,633,173,192,1145
62242,Sankt Jakob im Walde,1047,14.6,18.2,2.8,81.2,0.9,74.2,3.9,67.4,334,3.08,308,116,121,284
62235,Pöllauberg,2042,12.8,21.4,2.5,81.3,2.3,65.3,6.9,76.9,685,2.98,617,188,194,499
62233,Pinggau,3150,15.9,20.6,3.4,78.1,4,68.4,7.1,71.4,1266,2.49,923,251,284,1275
62232,Ottendorf an der Rittschein,1541,14,15.1,2.4,79.6,3.2,68.1,5.1,83.9,589,2.62,474,122,129,275
62226,Lafnitz,1449,13.3,19.9,7.9,74,5.9,64.4,6.3,73.4,576,2.46,431,111,126,967
62220,Hartberg Umgebung,2179,16.6,18.1,3.8,80.2,1.8,65.4,10.6,75.9,709,3.03,644,221,235,1016
62219,Hartberg,6771,13.9,22.2,9.3,73.7,5.7,60.2,14.6,54.4,3060,2.16,1825,1077,1313,7779
62216,Großsteinbach,1268,13.9,18.8,2.9,76.3,3,68.6,7.3,78.6,493,2.57,392,102,109,329
62214,Greinbach,1814,14.4,18.6,4.5,77.5,4.5,68.1,6.1,73.4,661,2.68,532,179,193,719
62211,Friedberg,2633,14.9,20.6,2.9,75.5,4.1,68.3,7.8,72.2,1032,2.51,767,215,243,878
62209,Ebersdorf,1288,15.5,16.4,2.2,80.4,1.8,69.4,6.4,74.9,473,2.72,385,133,143,439
62206,Burgau,1050,11.6,24.4,9.9,72.3,6.1,66.4,8.5,72.7,495,2.12,300,86,103,399
62205,Buch-St. Magdalena,2150,13.9,18.6,1.3,75.9,4.2,69.3,5.7,79.6,759,2.83,667,154,162,450
62202,Bad Blumau,1614,14,19.8,5.2,76.6,3.8,67,6.7,70.6,596,2.64,464,141,149,1039
62148,Tragöß-Sankt Katharein,1849,12.4,26.6,3.6,75.2,3.1,72.8,6.2,70.6,876,2.11,554,137,152,360
62147,Thörl,2265,10.9,26.9,4.6,74.1,4.3,67,6.4,64.5,1036,2.15,670,183,207,815
62146,Sankt Marein im Mürztal,2684,14.6,22.1,10.1,77.1,4.8,67.2,8.7,80.9,1151,2.26,771,186,207,919
62145,Sankt Barbara im Mürztal,6607,11.4,27.9,6.1,71,4.5,68.7,6.6,61.5,3200,2.05,1994,393,446,2349
62144,Neuberg an der Mürz,2385,10.1,29.2,5.8,72.3,4.3,71.5,6,67.2,1157,2.05,698,211,230,572
62143,Mürzzuschlag,8356,11.2,28.8,11.8,67.5,7.3,64.7,7.6,48.1,4124,1.98,2335,468,607,4357
62142,Mariazell,3687,10.8,29.5,8.2,76.1,2.9,71.6,5.8,26.6,1805,2.01,1048,320,407,1761
62141,Kindberg,8197,12.4,24,5.7,75.5,4,68.4,8.7,60.7,3795,2.13,2442,509,587,3750
62140,Kapfenberg,22704,13,23.2,18.8,67.6,8,64,7.4,46.3,10870,2.06,6370,1038,1297,14231
62139,Bruck an der Mur,15800,11.6,24.8,11.3,71.2,6.3,65.6,10.9,56.6,7955,1.93,4372,1073,1331,9106
62138,Aflenz,2445,11.7,25.8,5.3,74.6,2.7,69.9,11.6,63,1102,2.21,739,208,228,843
62135,Turnau,1605,13.6,26.2,6.4,78.1,2.7,68.8,6.3,67.2,642,2.43,472,124,140,395
62132,Stanz im Mürztal,1848,15.7,21.9,1.8,77,3.6,69.7,4.8,76.2,739,2.5,574,162,167,338
62131,Spital am Semmering,1439,9.3,30,5.6,74.3,3.8,72.9,6.3,72,716,1.99,421,127,158,862
62128,Sankt Lorenzen im Mürztal,3655,14.8,20.5,5.7,77.3,3.9,69.3,12.1,81.4,1496,2.41,1131,235,263,1244
62125,Pernegg an der Mur,2357,12,23.9,6.7,75.3,3.9,67.3,9.3,78.9,1064,2.2,709,150,173,519
62116,Langenwang,3890,12.2,23.9,3.6,74.8,3.4,70.2,8,74.8,1788,2.18,1182,297,325,1217
62115,Krieglach,5364,14,23.5,3.7,76.1,3.3,69.4,9.1,66.4,2465,2.14,1596,353,409,1891
62105,Breitenau am Hochlantsch,1660,12.4,30.5,5.3,69.1,3.7,67.9,5.7,51.6,747,2.22,516,123,135,511
62048,Weißkirchen in Steiermark,4783,13.9,21.9,2.7,76.9,2.6,71,9.4,72.2,1913,2.49,1434,418,451,1442
62047,Spielberg,5364,13.9,21.7,4.4,74.1,3.6,70.5,8.6,79.9,2364,2.27,1671,329,371,2279
62046,Sankt Margarethen bei Knittelfeld,2685,12.7,22.4,4.8,77.6,3.3,71.9,8,77.2,1091,2.43,816,202,220,643
62045,Sankt Marein-Feistritz,2035,16.8,20.5,2.4,79.5,2.2,70,12.4,76.3,762,2.63,619,203,211,493
62044,Pölstal,2598,12.3,27.2,3.4,78.3,3.1,69.2,5.7,53,1092,2.3,731,310,328,964
62043,Pöls-Oberkurzheim,2973,11.4,25.7,4.5,73.3,4,68.8,6.7,60.4,1346,2.17,868,191,228,1257
62042,Obdach,3756,13.4,21.5,3.1,78.8,3.2,69.6,7,51.3,1448,2.56,1068,359,389,1569
62041,Knittelfeld,12621,12.7,22.4,20.7,66.2,8.5,61,6.8,57.4,6328,1.96,3395,636,806,6852
62040,Judenburg,9870,11.2,25.1,9.9,69,7.6,65.7,8.7,56.1,5119,1.88,2711,647,796,6301
62039,Lobmingtal,1844,14.2,21.3,3.7,76.8,2.3,66.9,8.8,76.3,720,2.49,550,134,148,475
62038,Zeltweg,6998,11.4,24.6,12.9,69.8,7.6,65.3,5.7,69.4,3521,1.96,1980,367,455,4747
62036,Unzmarkt-Frauenburg,1302,10.8,27.4,5.1,70.3,4,68.3,5.3,73.4,550,2.23,371,98,106,369
62034,Seckau,1291,16.2,20.9,1.5,75.2,2.5,66.9,15.2,70.1,488,2.62,388,124,136,399
62032,Sankt Peter ob Judenburg,1081,14.3,23.4,3.4,81.1,1.9,74.4,9,74.3,456,2.37,332,97,105,376
62026,Sankt Georgen ob Judenburg,832,13.5,23.2,2.5,79.9,0.9,73.1,5.3,71.5,336,2.41,242,71,76,194
62021,Pusterwald,435,13.6,25.5,2.1,77.4,1.3,74.7,4.8,71.2,171,2.54,128,50,53,94
62014,Kobenz,1912,14.3,19.7,3.2,79.4,2.6,68.9,12,78.9,771,2.43,582,156,174,617
